"program","program_name","description","importance","status","rgdt","updt"
"0001","10puzzle","与えられた4つの数字から10を作る演算を返します。",5,"1","2022-07-30 10:20:45","2022-07-30 10:20:45"
"0002","mandelbrot","マンデルブロ集合を描きます。",5,"1","2022-07-31 10:20:45","2022-07-31 10:20:45"
"0003","julia","ジュリア集合を描きます。",5,"1","2022-08-01 10:20:45","2022-08-01 10:20:45"
"0004","buddhabrot","ブッダブロを描きます。",5,"1","2022-08-02 10:20:45","2022-08-02 10:20:45"
"0005","イロイロ♪","便利な色作成ツールです。",5,"0","2022-08-03 10:20:45","2022-08-03 10:20:45"
"0006","オトト♪","音を作成します。",5,"0","2022-08-04 10:20:45","2022-08-04 10:20:45"
"0007","サイトビューアー","webサイトを安全に閲覧します。",5,"0","2022-08-05 10:20:45","2022-08-05 10:20:45"
"0008","ピタゴラスの木","ピタゴラスの木を描きます。",5,"1","2022-08-06 10:20:45","2022-08-06 10:20:45"
"0009","tree","2分木を描きます。",5,"1","2022-08-07 10:20:45","2022-08-07 10:20:45"
"0010","シェルピンスキーのカーペット","シェルピンスキーのカーペットを描きます。",5,"1","2022-08-08 10:20:45","2022-08-08 10:20:45"
"0011","シェルピンスキーのギャスケット","シェルピンスキーのギャスケットを描きます。",5,"1","2022-08-09 10:20:45","2022-08-09 10:20:45"
"0012","バラ曲線","バラ曲線を描きます。",5,"1","2022-08-10 10:20:45","2022-08-10 10:20:45"
"0013","ビュフォンの針","ビュフォンの針方式で円周率を算定します。",5,"1","2022-08-11 10:20:45","2022-08-11 10:20:45"
"0014","ベジェベジェ","ベジェ曲線をGUIで作成します。",5,"1","2022-08-12 10:20:45","2022-08-12 10:20:45"
"0015","Let’s rotate!","座標を回転させます。",5,"0","2022-08-13 10:20:45","2022-08-13 10:20:45"
"0016","ボロノイ図","ボロノイ図を作成します。",5,"0","2022-08-14 10:20:45","2022-08-14 10:20:45"
"0017","正規表現チェッカー","正規表現をテストします。",5,"0","2022-08-15 10:20:45","2022-08-15 10:20:45"
"0018","数独SOLVER","ナンプレを解きます。",5,"1","2022-08-15 10:20:45","2022-08-15 10:20:45"
"0019","テキストエディタ","簡単なテキストエディタです。",5,"0","2022-09-04 11:08:24","2022-09-04 11:08:24"
"0020","バイナリエディタ","簡単なバイナリエディタです。",5,"1","2022-09-04 11:08:24","2022-09-04 11:08:24"
